54:4E:90:D1:F8:15,Thu Jun 09 21:43:53 2016,Thu Jun 09 21:44:55 2016,"Apple, Inc."
DA:A1:19:A3:10:47,Thu Jun 09 21:45:16 2016,Thu Jun 09 21:45:16 2016,"Google, Inc."
A4:08:EA:04:18:F1,Thu Jun 09 21:05:08 2016,Thu Jun 09 21:46:44 2016,"Murata Manufacturing Co., Ltd."
FC:DB:B3:35:16:69,Thu Jun 09 21:48:28 2016,Thu Jun 09 21:48:44 2016,"Murata Manufacturing Co., Ltd."
6A:DD:F8:96:E9:CA,Thu Jun 09 21:48:57 2016,Thu Jun 09 21:48:57 2016,Unknown
00:EE:BD:BB:39:FF,Thu Jun 09 21:49:05 2016,Thu Jun 09 21:49:05 2016,HTC Corporation
EE:09:6D:E8:67:0A,Thu Jun 09 21:51:14 2016,Thu Jun 09 21:51:19 2016,Unknown
4C:7C:5F:5F:DF:03,Thu Jun 09 21:05:50 2016,Thu Jun 09 21:54:07 2016,"Apple, Inc."
DA:A1:19:0E:71:B3,Thu Jun 09 21:55:32 2016,Thu Jun 09 21:55:32 2016,"Google, Inc."
5C:F9:38:E7:6D:00,Thu Jun 09 21:56:45 2016,Thu Jun 09 21:56:45 2016,"Apple, Inc."
0C:8B:FD:26:76:9A,Thu Jun 09 20:23:48 2016,Thu Jun 09 21:57:06 2016,Intel Corporate
28:B2:BD:AD:32:5D,Thu Jun 09 21:57:04 2016,Thu Jun 09 21:57:04 2016,Intel Corporate
AC:7F:3E:1D:8A:0C,Thu Jun 09 20:26:27 2016,Thu Jun 09 22:04:33 2016,"Apple, Inc."
34:AA:8B:F8:12:8C,Thu Jun 09 22:05:40 2016,Thu Jun 09 22:05:40 2016,"Samsung Electronics Co.,Ltd"
E0:B5:2D:29:62:A0,Thu Jun 09 22:05:29 2016,Thu Jun 09 22:06:04 2016,"Apple, Inc."
D0:22:BE:05:35:56,Thu Jun 09 22:06:19 2016,Thu Jun 09 22:06:19 2016,"Samsung Electro Mechanics co.,LTD."
2E:35:4F:BA:BA:BF,Thu Jun 09 22:07:07 2016,Thu Jun 09 22:07:07 2016,Unknown
00:34:DA:7D:A0:A2,Thu Jun 09 20:15:54 2016,Thu Jun 09 22:10:55 2016,LG Electronics (Mobile Communications)
E4:98:D6:17:D4:E1,Thu Jun 09 20:15:46 2016,Thu Jun 09 22:16:05 2016,"Apple, Inc."
